date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:59:10	229011/229011	---M--	200	added ('OK')	image/png	etag:%226e3657-37e93-616aa3b407ff1%22	https://knightandnoblepublishers.com/images/K&G%20icons-02.png	D:/Work/Knightpub/knightpub/knightandnoblepublishers.com/images/K&G%20icons-02.png	(from https://knightandnoblepublishers.com/)
19:59:10	243903/243903	---M--	200	added ('OK')	image/png	etag:%226e365c-3b8bf-616aa3b4083d9%22	https://knightandnoblepublishers.com/images/K&G%20icons-03.png	D:/Work/Knightpub/knightpub/knightandnoblepublishers.com/images/K&G%20icons-03.png	(from https://knightandnoblepublishers.com/)
19:59:10	240828/240828	---M--	200	added ('OK')	image/png	etag:%226e3665-3acbc-616aa3b409761%22	https://knightandnoblepublishers.com/images/K&G%20icons-04.png	D:/Work/Knightpub/knightpub/knightandnoblepublishers.com/images/K&G%20icons-04.png	(from https://knightandnoblepublishers.com/)
19:59:11	33944/33944	---M--	200	added ('OK')	image/webp	etag:%226e3659-8498-616aa3b4083d9%22	https://knightandnoblepublishers.com/images/best-selling-book-compressed.webp	D:/Work/Knightpub/knightpub/knightandnoblepublishers.com/images/best-selling-book-compressed.webp	(from https://knightandnoblepublishers.com/)
19:59:11	682/682	---M--	200	added ('OK')	image/webp	etag:%226e3667-2aa-616aa3b409b49%22	https://knightandnoblepublishers.com/images/user-1.webp	D:/Work/Knightpub/knightpub/knightandnoblepublishers.com/images/user-1.webp	(from https://knightandnoblepublishers.com/)
19:59:11	1000/1000	---M--	200	added ('OK')	image/webp	etag:%226e365a-3e8-616aa3b4083d9%22	https://knightandnoblepublishers.com/images/user-2.webp	D:/Work/Knightpub/knightpub/knightandnoblepublishers.com/images/user-2.webp	(from https://knightandnoblepublishers.com/)
19:59:12	1184/1184	---M--	200	added ('OK')	image/webp	etag:%226e3656-4a0-616aa3b407c09%22	https://knightandnoblepublishers.com/images/user-3.webp	D:/Work/Knightpub/knightpub/knightandnoblepublishers.com/images/user-3.webp	(from https://knightandnoblepublishers.com/)
19:59:12	914/914	---M--	200	added ('OK')	image/webp	etag:%226e31b0-392-616aa3b407051%22	https://knightandnoblepublishers.com/images/user-4.webp	D:/Work/Knightpub/knightpub/knightandnoblepublishers.com/images/user-4.webp	(from https://knightandnoblepublishers.com/)
19:59:12	946/946	---M--	200	added ('OK')	image/webp	etag:%226e365b-3b2-616aa3b4083d9%22	https://knightandnoblepublishers.com/images/user-5.webp	D:/Work/Knightpub/knightpub/knightandnoblepublishers.com/images/user-5.webp	(from https://knightandnoblepublishers.com/)
19:59:12	480/480	---M--	200	added ('OK')	image/webp	etag:%226e3660-1e0-616aa3b408f91%22	https://knightandnoblepublishers.com/images/user-6.webp	D:/Work/Knightpub/knightpub/knightandnoblepublishers.com/images/user-6.webp	(from https://knightandnoblepublishers.com/)
19:59:13	3718/3718	---M--	200	added ('OK')	image/png	etag:%226e1457-e86-616aa3b4087c1%22	https://knightandnoblepublishers.com/images/footer_logo.png	D:/Work/Knightpub/knightpub/knightandnoblepublishers.com/images/footer_logo.png	(from https://knightandnoblepublishers.com/)
19:59:14	69597/69597	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-10fdd%22	https://code.jquery.com/jquery-3.2.1.slim.min.js	D:/Work/Knightpub/knightpub/code.jquery.com/jquery-3.2.1.slim.min.js	(from https://knightandnoblepublishers.com/)
19:59:15	19188/19188	---MCZ	200	added ('OK')	application/javascript	etag:W/%224af4-w7l3qkuN+2nWUeBwFQMdOF3tlks%22	https://cdn.jsdelivr.net/npm/popper.js@1.12.9/dist/umd/popper.min.js	D:/Work/Knightpub/knightpub/cdn.jsdelivr.net/npm/popper.js@1.12.9/dist/umd/popper.min.js	(from https://knightandnoblepublishers.com/)
19:59:15	48944/48944	---M-Z	200	added ('OK')	application/javascript	etag:W/%22bf30-qVRYMYA7E1nP7tR+O01rrmjkDpk%22	https://cdn.jsdelivr.net/npm/bootstrap@4.0.0/dist/js/bootstrap.min.js	D:/Work/Knightpub/knightpub/cdn.jsdelivr.net/npm/bootstrap@4.0.0/dist/js/bootstrap.min.js	(from https://knightandnoblepublishers.com/)
19:59:16	702/702	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2006%20Sep%202024%2014:59:17%20GMT	https://knightandnoblepublishers.com/js/index.js	D:/Work/Knightpub/knightpub/knightandnoblepublishers.com/js/index.3b.delayed	(from https://knightandnoblepublishers.com/)
19:59:18	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	D:/Work/Knightpub/knightpub/code.jquery.com/jquery-3.6.0.min.js	(from https://knightandnoblepublishers.com/)
19:59:19	115156/115156	---M--	200	added ('OK')	image/webp	etag:%226e3658-1c1d4-616aa3b407ff1%22	https://knightandnoblepublishers.com/images/banner-bg.webp	D:/Work/Knightpub/knightpub/knightandnoblepublishers.com/images/banner-bg.webp	(from https://knightandnoblepublishers.com/css/main.css)
